Author,Quote
lewis christ,"Whenever you feel pressured just because others are doing it, pause for a while. Give it time to notice ann wait until there is evidence to prove that it's the right action before you give in."
lewis christ,"Be creative, you are an artist. The life you are painting is your masterpiece and your paint brush is your mind."
lewis christ,Think of yourself like a blank sheet of paper which is clean of contents to allow space for new information.
lewis christ,Practise to deliver your thoughts clearly even if you are with people who understands you best.
lewis christ,Listening is a skill while learning is the ability to identify sounds.
austin kleon,You are the sum of your influences.
austin kleon,"Your job is to collect good ideas. The more good ideas you collect, the more you can choose from to be influenced by."
diseyi philomena,"Before you go to bed everyday, meditate on the best thing you did for the day and if there ain't do one"
phil knight,"When you fail, fail quickly so you'd have enough time, enough years to implement all the hard won lessons"
diseyi philomena,"Everyone operates from a place of priviledge, find yours and leverage it"
james clear,Your habit is your identity
morgan housel,"To grasp why people bury themselves in debt you don't need to study interest rates; you need to study the history of greed, insecurity and optimisim"
morgan housel,"History never repeats itself, man always does"
morgan housel,Not all success is due to hardwor and not all poverty is dues to laziness. Kepp this in mind when judging people including yourself.
morgan housel,There's no reason to risk what you have for what you need for what you don't have and don't need.
morgan housel,Enough is realizing that the opposite-an insatiable appetite for more-will push you to the point of regret.
morgan housel,We assume that tomorrow won't be like yesterday. We can't afford to rest on our laurels. We can't be complacent. We can't assume that yesterday's success translates into tomorrow's good fortune .
morgan housel,Using your money to buy time and options has a lifestyle benefits few luxurygoods can compete with.
morgan housel,One of the most powerful ways to increase yoursavings isn't to raise your income. It's to raise your humility.
morgan housel,Savings is a hedge against life's inevitable ability to surprise the hell out of you at the worst possible moment.
morgan housel,A question you should ask as the range of your commpetition expand is How do I stand out.
morgan housel,Intelligence is not a reliable advantage in a world that's become as connected as ours has. But flexibility is.
jeff immelt,Every job looks easy when you are not the one doing it.
diseyi philomena,"Everything has a price tag, nothing is free. You're not just seeing the price tag"
